"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"02/01/2023","15.570,0","15.490,0","15.583,5","15.490,0","0,12K","0,03%"
"03/01/2023","15.595,0","15.595,0","15.612,5","15.550,0","0,17K","0,16%"
"04/01/2023","15.585,0","15.612,5","15.633,0","15.580,0","0,19K","-0,06%"
"05/01/2023","15.605,0","15.580,0","15.622,5","15.565,0","0,18K","0,13%"
"06/01/2023","15.630,0","15.635,0","15.643,0","15.603,5","0,16K","0,16%"
"09/01/2023","15.565,0","15.580,0","15.590,0","15.555,0","0,16K","-0,42%"
"10/01/2023","15.570,0","15.574,0","15.598,5","15.547,5","0,15K","0,03%"
"11/01/2023","15.480,0","15.565,0","15.575,0","15.470,0","0,26K","-0,58%"
"12/01/2023","15.336,0","15.470,0","15.470,0","15.290,0","","-0,93%"
"13/01/2023","15.140,0","15.210,0","15.237,5","15.135,5","","-1,28%"
"16/01/2023","15.040,0","15.080,0","15.080,0","14.981,5","","-0,66%"
"17/01/2023","15.160,0","15.125,0","15.180,0","15.027,5","","0,80%"
"18/01/2023","15.085,0","15.200,0","15.207,5","15.070,0","","-0,49%"
"19/01/2023","15.100,0","15.135,0","15.145,0","15.089,0","","0,10%"
"20/01/2023","15.070,0","15.120,0","15.155,0","15.075,0","","-0,20%"
"24/01/2023","14.885,0","15.035,0","15.045,0","14.884,0","","-1,23%"
"25/01/2023","14.960,0","14.925,0","14.975,0","14.915,0","","0,50%"
"26/01/2023","14.945,0","14.965,0","14.987,5","14.920,0","","-0,10%"
"27/01/2023","14.980,0","14.970,0","14.996,0","14.953,5","","0,23%"
"30/01/2023","14.965,0","14.972,5","14.989,0","14.954,5","","-0,10%"
"31/01/2023","14.985,0","15.000,0","15.005,0","14.971,5","","0,13%"
"01/02/2023","14.970,0","15.000,0","15.007,5","14.966,0","","-0,10%"
"02/02/2023","14.875,0","14.875,0","14.887,5","14.835,0","","-0,63%"
"03/02/2023","14.890,0","14.905,0","14.922,5","14.876,5","","0,10%"
"06/02/2023","15.050,0","15.005,0","15.072,5","15.005,0","","1,07%"
"07/02/2023","15.140,0","15.142,5","15.153,0","15.121,5","","0,60%"
"08/02/2023","15.095,0","15.145,0","15.152,5","15.098,5","","-0,30%"
"09/02/2023","15.090,0","15.115,0","15.130,0","15.094,5","","-0,03%"
"10/02/2023","15.130,0","15.117,5","15.147,5","15.114,0","","0,27%"
"13/02/2023","15.190,0","15.170,0","15.227,5","15.170,0","","0,40%"
"14/02/2023","15.155,0","15.175,0","15.197,5","15.151,5","","-0,23%"
"15/02/2023","15.200,0","15.167,5","15.207,5","15.157,0","","0,30%"
"16/02/2023","15.153,0","15.210,0","15.210,0","15.150,0","","-0,31%"
"17/02/2023","15.200,0","15.177,5","15.217,5","15.172,0","","0,31%"
"20/02/2023","15.155,0","15.197,5","15.200,0","15.154,5","","-0,30%"
"21/02/2023","15.185,0","15.162,5","15.193,5","15.160,0","","0,20%"
"22/02/2023","15.200,0","15.210,0","15.229,0","15.201,5","","0,10%"
