tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2021-11-30,DKI1 (Bunderan HI),50.0,29.0,31.0,9.0,18.0,7.0,50.0,PM25,BAIK
2021-12-01,DKI1 (Bunderan HI),65.0,49.0,33.0,13.0,15.0,12.0,65.0,PM25,SEDANG
2021-12-02,DKI1 (Bunderan HI),34.0,28.0,31.0,7.0,15.0,5.0,34.0,PM25,BAIK
2021-12-03,DKI1 (Bunderan HI),31.0,49.0,9.0,19.0,7.0,49.0,49.0,PM25,BAIK
2021-12-04,DKI1 (Bunderan HI),52.0,39.0,35.0,13.0,15.0,9.0,52.0,PM25,SEDANG
2021-12-05,DKI1 (Bunderan HI),57.0,41.0,39.0,15.0,15.0,9.0,57.0,PM25,SEDANG
2021-12-06,DKI1 (Bunderan HI),81.0,60.0,55.0,23.0,18.0,11.0,81.0,PM25,SEDANG
2021-12-07,DKI1 (Bunderan HI),31.0,30.0,34.0,12.0,16.0,9.0,34.0,SO2,BAIK
2021-12-08,DKI1 (Bunderan HI),60.0,45.0,33.0,17.0,18.0,10.0,60.0,PM25,SEDANG
2021-12-09,DKI1 (Bunderan HI),50.0,33.0,36.0,10.0,21.0,11.0,50.0,PM25,BAIK
2021-12-10,DKI1 (Bunderan HI),59.0,46.0,43.0,14.0,19.0,12.0,59.0,PM25,SEDANG
2021-12-11,DKI1 (Bunderan HI),43.0,28.0,33.0,8.0,24.0,9.0,43.0,PM25,BAIK
2021-12-12,DKI1 (Bunderan HI),57.0,44.0,32.0,17.0,15.0,7.0,57.0,PM25,SEDANG
2021-12-13,DKI1 (Bunderan HI),46.0,31.0,34.0,10.0,13.0,6.0,46.0,PM25,BAIK
2021-12-14,DKI1 (Bunderan HI),61.0,46.0,46.0,15.0,16.0,10.0,61.0,PM25,SEDANG
2021-12-15,DKI1 (Bunderan HI),75.0,58.0,43.0,19.0,20.0,14.0,75.0,PM25,SEDANG
2021-12-16,DKI1 (Bunderan HI),74.0,56.0,39.0,20.0,24.0,16.0,74.0,PM25,SEDANG
2021-12-17,DKI1 (Bunderan HI),71.0,53.0,42.0,18.0,24.0,15.0,71.0,PM25,SEDANG
